99EPAD_933  Body Imaging
99EPAD_934  Cardiovascular Imaging
99EPAD_935  Neurointerventional Radiology
99EPAD_936  Nuclear Medicine and Molecular Imaging
99EPAD_937  Pediatric Neuroradiology
99EPAD_938  Thoracic Imaging
99EPAD_939  Multisystem
99EPAD_940  Junior Resident
99EPAD_941  Senior Resident
99EPAD_942  Fellow
99EPAD_943  Imaging Proof
99EPAD_944  Pathologic Proof
99EPAD_945  Surgical Proof
99EPAD_946  Unspecified Proof
99EPAD_947  Teaching file
99EPAD_949  Not listed
C0038495    Medical student
C0344093    Interventional radiology
C1142375    MRI of whole body
C1518934    Pediatric radiology
C173635     Neuroimaging
C53281      Faculty
C5395630    Community radiology
RID10       image quality
RID10003    oropharynx
RID10021    hypopharynx
RID10029    nose
RID10053    ear
RID10054    external ear
RID10058    helix
RID1008     vein
RID1010     superior vena cava
RID10100    tympanic membrane
RID10109    middle ear cavity
RID10122    oval window
RID1013     subclavian vein
RID1014     axillary vein
RID10143    mastoid antrum
RID10149    ossicle
RID1015     brachial vein
RID10151    stapes
RID1016     basilic vein
RID10163    malleus
RID1017     cephalic vein
RID1018     external jugular vein
RID10199    inner ear
RID10204    internal opening of vestibular canaliculus
RID10223    cochlea
RID1024     internal jugular vein
RID10242    helicotrema
RID10248    semicircular duct
RID10260    saccular duct
RID10268    otolith
RID10274    cochlear duct
RID10311    imaging modality
RID10312    magnetic resonance imaging
RID10315    magnetic resonance spectroscopy
RID10317    functional magnetic resonance imaging
RID10319    magnetic resonance angiography
RID10321    computed tomography
RID10323    quantitative computed tomography
RID10326    ultrasound
RID10330    nuclear medicine imaging
RID10334    single photon emission computed tomography
RID10336    bremsstrahlung imaging
RID10337    positron emission tomography
RID10341    PET-CT
RID10342    PET-MR
RID10345    projection radiography
RID10349    computed radiography
RID10351    digital radiography
RID10353    screen-film radiography
RID10356    dual-energy subtraction radiography
RID10357    mammography
RID10358    conventional tomography
RID10359    tomosynthesis
RID10361    fluoroscopy
RID10365    catheter angiography
RID10367    interventional radiology procedure
RID10371    angiography
RID10373    arthrography
RID10374    diffusion
RID10375    Doppler
RID10376    perfusion imaging
RID10377    spectroscopy
RID10378    functional
RID10379    venography
RID10380    myelography
RID10381    intervention
RID10383    portable
RID10385    dynamic
RID10386    limited evaluation
RID10387    complete evaluation
RID10390    stat
RID10391    urgent
RID10392    routine
RID10394    diagnosis
RID10397    ablation
RID10398    aspiration of bodily substance
RID10401    atherectomy
RID10402    stent placement
RID10403    thrombolysis
RID10404    embolization
RID10405    temporary occlusion
RID10406    infusion
RID10407    repair
RID10409    measurement type
RID1041     facial vein
RID10410    narrow
RID10412    thrombectomy
RID10415    device removal
RID10416    shunt creation
RID10417    drainage
RID10418    direct injection
RID10419    brachytherapy
RID10420    patient position
RID10421    supine position
RID10422    prone position
RID10423    decubitus position
RID10424    right lateral decubitus position
RID10425    left lateral decubitus position
RID10426    dorsal decubitus position
RID10427    extension position
RID10428    hyperextension position
RID10429    flexion position
RID10433    external rotation position
RID10439    lateral decubitus position
RID1044     supraorbital vein
RID10440    oblique position
RID10441    left anterior oblique position
RID10442    left posterior oblique position
RID10443    right anterior oblique position
RID10444    right posterior oblique position
RID10448    bending position
RID10449    lordotic position
RID10450    neutral position
RID10451    open mouth position
RID10452    sitting position
RID10453    standing position
RID10455    upright position
RID10459    ventral position
RID10461    patient orientation
RID10465    augmentation maneuver
RID10467    exhalation maneuver
RID10468    inspiration maneuver
RID10469    temporal tap
RID10470    Valsalva maneuver
RID10471    straining maneuver
RID10473    Mueller maneuver
RID10476    physiological stress
RID10477    exercise stress maneuver
RID10478    treadmill exercise
RID10480    Bruce protocol exercise
RID10482    bicycle exercise
RID10489    pharmacologic stress
RID10490    adenosine stress
RID10491    dipyridamole stress
RID10492    dobutamine stress
RID10493    mental stress
RID10494    breathing maneuver
RID10503    end expiration
RID10509    implant displaced
RID10511    radiographic projection
RID10514    axial projection
RID10519    craniocaudal projection
RID10521    frontal projection
RID10523    lateral projection
RID10524    lateromedial projection
RID10526    mediolateral projection
RID10527    mediolateral oblique projection
RID10528    oblique projection
RID10538    moving grid
RID10545    entrance skin exposure
RID10547    entrance air KERMA
RID10549    dose area product
RID1055     retromandibular vein
RID10551    KERMA area product
RID10553    radiation dose estimate
RID10554    entrance skin dose
RID10556    scanning direction
RID10557    cephalocaudad
RID10562    automatic bolus tracking
RID10564    monitoring delay
